case_name,wavelength_um,R,T,A,emissivity_proxy,input_flux_raw,reflection_flux_raw,transmission_flux_raw,raw_transmittance,signed_transmittance,pre_fix_A_from_raw_T,reference_kind,normalization_note,physical_note,period_um,width_um,depth_um,tilt_deg,walltime_s
slanted_tilt0,8.0,0.837982271643966,-0.0008694854098923819,0.16288721376592638,0.16288721376592638,-0.02144164903539864,0.017967721766476003,1.864320100031218e-05,0.0008694854098923819,-0.0008694854098923819,0.16114824294614163,rectangular_groove,R = reflection_flux_raw / abs(input_flux_raw); corrected T = -transmission_flux_raw / abs(input_flux_raw); raw_transmittance is retained for D00/D01 provenance,degenerate slanted groove; should match rectangular groove,10.0,4.0,3.0,0.0,27.652003049850464
slanted_tilt0,8.851063829787234,0.8801013336219777,-1.1394373584878887e-06,0.11989980581538076,0.11989980581538076,-28.717596733992007,25.27439518400452,3.272190256470027e-05,1.1394373584878887e-06,-1.1394373584878887e-06,0.11989752694066377,rectangular_groove,R = reflection_flux_raw / abs(input_flux_raw); corrected T = -transmission_flux_raw / abs(input_flux_raw); raw_transmittance is retained for D00/D01 provenance,degenerate slanted groove; should match rectangular groove,10.0,4.0,3.0,0.0,27.652003049850464
slanted_tilt0,9.904761904761905,0.8873435298412783,-9.024255080131256e-06,0.11266549441380184,0.11266549441380184,-270.41081454422283,239.94728668492596,0.002440256166873134,9.024255080131256e-06,-9.024255080131256e-06,0.11264744590364158,rectangular_groove,R = reflection_flux_raw / abs(input_flux_raw); corrected T = -transmission_flux_raw / abs(input_flux_raw); raw_transmittance is retained for D00/D01 provenance,degenerate slanted groove; should match rectangular groove,10.0,4.0,3.0,0.0,27.652003049850464
slanted_tilt0,11.243243243243242,0.9058402203414943,-9.579292982867458e-07,0.09416073758780404,0.09416073758780404,-17.797008986098596,16.121246541387105,1.7048276329656338e-05,9.579292982867458e-07,-9.579292982867458e-07,0.09415882172920746,rectangular_groove,R = reflection_flux_raw / abs(input_flux_raw); corrected T = -transmission_flux_raw / abs(input_flux_raw); raw_transmittance is retained for D00/D01 provenance,degenerate slanted groove; should match rectangular groove,10.0,4.0,3.0,0.0,27.652003049850464
slanted_tilt0,13.0,0.9565156534529715,0.0015357046374873192,0.041948641909541166,0.041948641909541166,-0.008119849035690874,0.007766762706313337,-1.2469689819807411e-05,-0.0015357046374873192,0.0015357046374873192,0.045020051184515804,rectangular_groove,R = reflection_flux_raw / abs(input_flux_raw); corrected T = -transmission_flux_raw / abs(input_flux_raw); raw_transmittance is retained for D00/D01 provenance,degenerate slanted groove; should match rectangular groove,10.0,4.0,3.0,0.0,27.652003049850464
slanted_tilt20,8.0,0.8427416117333899,-0.0007612470939782951,0.15801963536058838,0.15801963536058838,-0.02144164903539864,0.018069769866313534,1.632239301829973e-05,0.0007612470939782951,-0.0007612470939782951,0.1564971411726318,slanted_tilt0,R = reflection_flux_raw / abs(input_flux_raw); corrected T = -transmission_flux_raw / abs(input_flux_raw); raw_transmittance is retained for D00/D01 provenance,asymmetric slanted groove,10.0,4.0,3.0,20.0,28.16102385520935
slanted_tilt20,8.851063829787234,0.881434368734406,-9.954910199834997e-07,0.11856662675661403,0.11856662675661403,-28.717596733992007,25.312676748795482,2.858810966419652e-05,9.954910199834997e-07,-9.954910199834997e-07,0.11856463577457407,slanted_tilt0,R = reflection_flux_raw / abs(input_flux_raw); corrected T = -transmission_flux_raw / abs(input_flux_raw); raw_transmittance is retained for D00/D01 provenance,asymmetric slanted groove,10.0,4.0,3.0,20.0,28.16102385520935
slanted_tilt20,9.904761904761905,0.8891769787552254,-7.91052820770067e-06,0.11083093177298231,0.11083093177298231,-270.41081454422283,240.44307109917162,0.002139092376119389,7.91052820770067e-06,-7.91052820770067e-06,0.11081511071656691,slanted_tilt0,R = reflection_flux_raw / abs(input_flux_raw); corrected T = -transmission_flux_raw / abs(input_flux_raw); raw_transmittance is retained for D00/D01 provenance,asymmetric slanted groove,10.0,4.0,3.0,20.0,28.16102385520935
slanted_tilt20,11.243243243243242,0.906808778391747,-8.283130591496009e-07,0.09319204992131215,0.09319204992131215,-17.797008986098596,16.13848397771101,1.4741494956988264e-05,8.283130591496009e-07,-8.283130591496009e-07,0.09319039329519384,slanted_tilt0,R = reflection_flux_raw / abs(input_flux_raw); corrected T = -transmission_flux_raw / abs(input_flux_raw); raw_transmittance is retained for D00/D01 provenance,asymmetric slanted groove,10.0,4.0,3.0,20.0,28.16102385520935
slanted_tilt20,13.0,0.9526876805363349,0.0013494820296681975,0.0459628374339969,0.0459628374339969,-0.008119849035690874,0.007735680144117535,-1.0957590357283477e-05,-0.0013494820296681975,0.0013494820296681975,0.048661801493333295,slanted_tilt0,R = reflection_flux_raw / abs(input_flux_raw); corrected T = -transmission_flux_raw / abs(input_flux_raw); raw_transmittance is retained for D00/D01 provenance,asymmetric slanted groove,10.0,4.0,3.0,20.0,28.16102385520935
