period_um,top_width_um,bottom_width_um,depth_um,tilt_angle_deg,wavelength_um,reflectance,transmittance,absorptance,emissivity_proxy
10.0,4.0,4.0,3.0,10.0,5.921052631578947,0.8080391062274289,-2.5338781915703956e-08,0.191960919111353,0.191960919111353
10.0,4.0,4.0,3.0,10.0,5.960264900662252,0.808082719644313,-2.1889798072579687e-08,0.1919173022454851,0.1919173022454851
10.0,4.0,4.0,3.0,10.0,5.999999999999999,0.8076619475732735,-1.9027368768968803e-08,0.1923380714540953,0.1923380714540953
10.0,4.0,4.0,3.0,10.0,6.040268456375839,0.807020943784683,-1.6652448126119093e-08,0.19297907286776508,0.19297907286776508
10.0,4.0,4.0,3.0,10.0,6.081081081081081,0.80644097123145,-1.4680031195046933e-08,0.19355904344858121,0.19355904344858121
10.0,4.0,4.0,3.0,10.0,6.122448979591836,0.8061808192286405,-1.3037317221445871e-08,0.19381919380867674,0.19381919380867674
10.0,4.0,4.0,3.0,10.0,6.164383561643836,0.8064280873362857,-1.1663167004728194e-08,0.19357192432688133,0.19357192432688133
10.0,4.0,4.0,3.0,10.0,6.206896551724138,0.8072694734967878,-1.0507843633639125e-08,0.19273053701105583,0.19273053701105583
10.0,4.0,4.0,3.0,10.0,6.25,0.8086836894958748,-9.532358562187213e-09,0.1913163200364838,0.1913163200364838
10.0,4.0,4.0,3.0,10.0,6.293706293706294,0.8105559676518642,-8.70710559250054e-09,0.18944404105524137,0.18944404105524137
10.0,4.0,4.0,3.0,10.0,6.338028169014084,0.8127091762875049,-8.009796537921653e-09,0.1872908317222916,0.1872908317222916
10.0,4.0,4.0,3.0,10.0,6.382978723404255,0.8149439578770986,-7.422967367546402e-09,0.18505604954586877,0.18505604954586877
10.0,4.0,4.0,3.0,10.0,6.428571428571429,0.817079364596125,-6.931472639268549e-09,0.1829206423353477,0.1829206423353477
10.0,4.0,4.0,3.0,10.0,6.474820143884893,0.8189861858131499,-6.520418992438984e-09,0.18101382070726912,0.18101382070726912
10.0,4.0,4.0,3.0,10.0,6.521739130434783,0.8206072454241673,-6.1739146847430065e-09,0.1793927607497474,0.1793927607497474
10.0,4.0,4.0,3.0,10.0,6.56934306569343,0.8219618897796193,-5.874856860261242e-09,0.1780381160952376,0.1780381160952376
10.0,4.0,4.0,3.0,10.0,6.617647058823529,0.823135083641843,-5.605777245499834e-09,0.1768649219639343,0.1768649219639343
10.0,4.0,4.0,3.0,10.0,6.666666666666667,0.8242543877109967,-5.350560305319233e-09,0.17574561763956362,0.17574561763956362
10.0,4.0,4.0,3.0,10.0,6.716417910447761,0.8254601234818922,-5.096673382137002e-09,0.17453988161478115,0.17453988161478115
10.0,4.0,4.0,3.0,10.0,6.7669172932330826,0.826874939696046,-4.8374361288552235e-09,0.17312506514139014,0.17312506514139014
10.0,4.0,4.0,3.0,10.0,6.818181818181818,0.8285786987858986,-4.573825128656373e-09,0.1714213057879265,0.1714213057879265
10.0,4.0,4.0,3.0,10.0,6.870229007633588,0.8305932367305613,-4.3153638467730736e-09,0.16940676758480255,0.16940676758480255
10.0,4.0,4.0,3.0,10.0,6.923076923076923,0.8328794282793027,-4.0797793113238726e-09,0.1671205758004766,0.1671205758004766
10.0,4.0,4.0,3.0,10.0,6.976744186046512,0.8353465365926726,-3.891294946462192e-09,0.1646534672986224,0.1646534672986224
10.0,4.0,4.0,3.0,10.0,7.03125,0.8378715003919813,-3.777645486650409e-09,0.16212850338566415,0.16212850338566415
10.0,4.0,4.0,3.0,10.0,7.086614173228347,0.8403240247300126,-3.766112946570257e-09,0.1596759790361004,0.1596759790361004
10.0,4.0,4.0,3.0,10.0,7.142857142857142,0.8425923916143659,-3.879061336416991e-09,0.1574076122646954,0.1574076122646954
10.0,4.0,4.0,3.0,10.0,7.199999999999999,0.8446049327369021,-4.129566751100485e-09,0.15539507139266467,0.15539507139266467
10.0,4.0,4.0,3.0,10.0,7.258064516129032,0.8463430709407413,-4.517782036879054e-09,0.1536569335770407,0.1536569335770407
10.0,4.0,4.0,3.0,10.0,7.317073170731708,0.8478435386002481,-5.028635813280478e-09,0.15215646642838773,0.15215646642838773
10.0,4.0,4.0,3.0,10.0,7.3770491803278695,0.849189494283329,-5.63135003482995e-09,0.150810511348021,0.150810511348021
10.0,4.0,4.0,3.0,10.0,7.43801652892562,0.8504923928006609,-6.28108474505518e-09,0.14950761348042382,0.14950761348042382
10.0,4.0,4.0,3.0,10.0,7.5,0.8518682295557003,-6.922807347012703e-09,0.14813177736710706,0.14813177736710706
10.0,4.0,4.0,3.0,10.0,7.563025210084034,0.8534128587492618,-7.49726511654471e-09,0.14658714874800335,0.14658714874800335
10.0,4.0,4.0,3.0,10.0,7.627118644067796,0.8551812807164181,-7.948742641028052e-09,0.14481872723232456,0.14481872723232456
10.0,4.0,4.0,3.0,10.0,7.692307692307692,0.8571750675834413,-8.234135415256175e-09,0.14282494065069412,0.14282494065069412
10.0,4.0,4.0,3.0,10.0,7.758620689655173,0.8593405736191146,-8.332784690946043e-09,0.14065943471367004,0.14065943471367004
10.0,4.0,4.0,3.0,10.0,7.82608695652174,0.8615785259329648,-8.256504780292708e-09,0.13842148232353998,0.13842148232353998
10.0,4.0,4.0,3.0,10.0,7.894736842105265,0.8637633804701381,-8.059289386973843e-09,0.13623662758915125,0.13623662758915125
10.0,4.0,4.0,3.0,10.0,7.964601769911504,0.8657688625868296,-7.846294790731859e-09,0.13423114525946517,0.13423114525946517
10.0,4.0,4.0,3.0,10.0,8.035714285714286,0.8674947632693407,-7.781843046073771e-09,0.13250524451250234,0.13250524451250234
10.0,4.0,4.0,3.0,10.0,8.108108108108109,0.8688896049324657,-8.096340872264045e-09,0.13111040316387518,0.13111040316387518
10.0,4.0,4.0,3.0,10.0,8.181818181818182,0.8699643479053075,-9.092141791998852e-09,0.13003566118683427,0.13003566118683427
10.0,4.0,4.0,3.0,10.0,8.256880733944953,0.8707938248203575,-1.1148466075613374e-08,0.12920618632810857,0.12920618632810857
10.0,4.0,4.0,3.0,10.0,8.333333333333334,0.8715048323107546,-1.472551866500246e-08,0.12849518241476407,0.12849518241476407
10.0,4.0,4.0,3.0,10.0,8.41121495327103,0.8722523989266352,-2.036790393968698e-08,0.12774762144126875,0.12774762144126875
10.0,4.0,4.0,3.0,10.0,8.49056603773585,0.8731882188779467,-2.870733506383029e-08,0.12681180982938833,0.12681180982938833
10.0,4.0,4.0,3.0,10.0,8.571428571428571,0.8744271170096425,-4.0464494332071805e-08,0.12557292345485185,0.12557292345485185
10.0,4.0,4.0,3.0,10.0,8.653846153846155,0.8760182898380716,-5.644974933633244e-08,0.12398176661167772,0.12398176661167772
10.0,4.0,4.0,3.0,10.0,8.737864077669904,0.8779277016557965,-7.756230406061596e-08,0.12207237590650759,0.12207237590650759
10.0,4.0,4.0,3.0,10.0,8.823529411764707,0.8800363650810324,-1.0478730101831429e-07,0.11996373970626857,0.11996373970626857
10.0,4.0,4.0,3.0,10.0,8.910891089108912,0.8821564994918354,-1.3919042147403477e-07,0.11784363969858609,0.11784363969858609
10.0,4.0,4.0,3.0,10.0,9.0,0.8840641585660846,-1.8190967495582864e-07,0.1159360233435904,0.1159360233435904
10.0,4.0,4.0,3.0,10.0,9.090909090909092,0.8855434377161313,-2.3414432894085781e-07,0.11445679642819763,0.11445679642819763
10.0,4.0,4.0,3.0,10.0,9.183673469387756,0.8864344793669111,-2.9714128690817986e-07,0.1135658177743758,0.1135658177743758
