wavelength_um,reflectance_groove,transmittance_groove,absorptance_groove,emissivity_proxy_groove,raw_transmittance_groove,signed_transmittance_groove,reflectance_flat,transmittance_flat,absorptance_flat,emissivity_proxy_flat,raw_transmittance_flat,signed_transmittance_flat,delta_R,delta_A,energy_error_groove
7.258064516129032,0.8463026733074522,-4.8664064014720945e-09,0.15369733155895415,0.15369733155895415,4.8664064014720945e-09,-4.8664064014720945e-09,0.9038922602062986,-2.986832902998915e-16,0.09610773979370166,0.09610773979370166,2.986832902998915e-16,-2.986832902998915e-16,-0.05758958689884641,0.057589591765252496,0.0
7.317073170731708,0.8476904290065522,-5.402957129043542e-09,0.1523095763964049,0.1523095763964049,5.402957129043542e-09,-5.402957129043542e-09,0.9047741739935897,-3.105075548832357e-16,0.09522582600641058,0.09522582600641058,3.105075548832357e-16,-3.105075548832357e-16,-0.0570837449870375,0.05708375038999433,0.0
7.3770491803278695,0.8489280372694329,-6.033071854269867e-09,0.15107196876363896,0.15107196876363896,6.033071854269867e-09,-6.033071854269867e-09,0.9056458381418797,-3.2132608548538607e-16,0.09435416185812061,0.09435416185812061,3.2132608548538607e-16,-3.2132608548538607e-16,-0.05671780087244682,0.05671780690551835,0.0
7.43801652892562,0.8501332741762543,-6.7095812430265456e-09,0.14986673253332697,0.14986673253332697,6.7095812430265456e-09,-6.7095812430265456e-09,0.906507205166871,-3.3106756100455655e-16,0.09349279483312933,0.09349279483312933,3.3106756100455655e-16,-3.3106756100455655e-16,-0.056373930990616716,0.056373937700197635,0.0
7.5,0.8514278075501632,-7.375033823666385e-09,0.1485721998248706,0.1485721998248706,7.375033823666385e-09,-7.375033823666385e-09,0.9073582393549608,-3.3966971212867184e-16,0.09264176064503948,0.09264176064503948,3.3966971212867184e-16,-3.3966971212867184e-16,-0.05593043180479762,0.05593043917983112,0.0
7.563025210084034,0.852911284978719,-7.968064429861926e-09,0.1470887229893454,0.1470887229893454,7.968064429861926e-09,-7.968064429861926e-09,0.9081989169472167,-3.470795875182135e-16,0.09180108305278369,0.09180108305278369,3.470795875182135e-16,-3.470795875182135e-16,-0.05528763196849762,0.0552876399365617,0.0
7.627118644067796,0.8546397348740514,-8.43160038235964e-09,0.14536027355754896,0.14536027355754896,8.43160038235964e-09,-8.43160038235964e-09,0.9090292260851924,-3.532537481784773e-16,0.09097077391480791,0.09097077391480791,3.532537481784773e-16,-3.532537481784773e-16,-0.054389491211141006,0.05438949964274105,0.0
7.692307692307692,0.8566126253040843,-8.722394458481309e-09,0.14338738341831012,0.14338738341831012,8.722394458481309e-09,-8.722394458481309e-09,0.9098491665171602,-3.5815839041921304e-16,0.09015083348284017,0.09015083348284017,3.5815839041921304e-16,-3.5815839041921304e-16,-0.05323654121307586,0.053236549935469946,0.0
7.758620689655173,0.8587713103599321,-8.821286670071357e-09,0.14122869846135452,0.14122869846135452,8.821286670071357e-09,-8.821286670071357e-09,0.9106587490691437,-3.617693983102334e-16,0.08934125093085668,0.08934125093085668,3.617693983102334e-16,-3.617693983102334e-16,-0.05188743870921153,0.05188744753049784,0.0
7.82608695652174,0.8610094334629831,-8.743588166651715e-09,0.13899057528060507,0.13899057528060507,8.743588166651715e-09,-8.743588166651715e-09,0.9114579948919441,-3.640723270258128e-16,0.08854200510805624,0.08854200510805624,3.640723270258128e-16,-3.640723270258128e-16,-0.050448561428961036,0.050448570172548834,0.0
7.894736842105265,0.8631935380212601,-8.549046483577926e-09,0.13680647052778638,0.13680647052778638,8.549046483577926e-09,-8.549046483577926e-09,0.9122469345007791,-3.6506231892236506e-16,0.08775306549922127,0.08775306549922127,3.6506231892236506e-16,-3.6506231892236506e-16,-0.04905339647951901,0.04905340502856512,0.0
7.964601769911504,0.8651900824345455,-8.350976892360599e-09,0.13480992591643134,0.13480992591643134,8.350976892360599e-09,-8.350976892360599e-09,0.9130256066319662,-3.647439546125924e-16,0.08697439336803417,0.08697439336803417,3.647439546125924e-16,-3.647439546125924e-16,-0.047835524197420654,0.047835532548397175,0.0
8.035714285714286,0.8668936573859689,-8.324305770205638e-09,0.13310635093833686,0.13310635093833686,8.324305770205638e-09,-8.324305770205638e-09,0.913794056945825,-3.631310416813359e-16,0.08620594305417531,0.08620594305417531,3.631310416813359e-16,-3.631310416813359e-16,-0.04690039955985614,0.046900407884161555,0.0
8.108108108108109,0.8682507429494825,-8.712439251361696e-09,0.13174926576295679,0.13174926576295679,8.712439251361696e-09,-8.712439251361696e-09,0.9145523366123834,-3.602463440344661e-16,0.08544766338761692,0.08544766338761692,3.602463440344661e-16,-3.602463440344661e-16,-0.046301593662900986,0.04630160237533987,0.0
8.181818181818182,0.8692739474028647,-9.833013644849847e-09,0.13072606243014898,0.13072606243014898,9.833013644849847e-09,-9.833013644849847e-09,0.9153005008218728,-3.5612125518121627e-16,0.08469949917812761,0.08469949917812761,3.5612125518121627e-16,-3.5612125518121627e-16,-0.046026553419008076,0.04602656325202137,0.0
8.256880733944953,0.8700432776857474,-1.2082676899563294e-08,0.12995673439692948,0.12995673439692948,1.2082676899563294e-08,-1.2082676899563294e-08,0.9160386072672992,-3.507954190212312e-16,0.0839613927327011,0.0839613927327011,3.507954190212312e-16,-3.507954190212312e-16,-0.045995329581551836,0.045995341664228376,0.0
8.333333333333334,0.8706933564858668,-1.5941074990145173e-08,0.12930665945520822,0.12930665945520822,1.5941074990145173e-08,-1.5941074990145173e-08,0.9167667146515854,-3.4431630194452045e-16,0.08323328534841491,0.08323328534841491,3.4431630194452045e-16,-3.4431630194452045e-16,-0.04607335816571867,0.04607337410679331,0.0
8.41121495327103,0.8713882241059019,-2.1974167699169945e-08,0.12861179786826582,0.12861179786826582,2.1974167699169945e-08,-2.1974167699169945e-08,0.9174848812758415,-3.367387202521113e-16,0.08251511872415884,0.08251511872415884,3.367387202521113e-16,-3.367387202521113e-16,-0.0460966571699396,0.04609667914410698,0.0
8.49056603773585,0.8722879550842259,-3.083688291989482e-08,0.12771207575265706,0.12771207575265706,3.083688291989482e-08,-3.083688291989482e-08,0.9181931637685105,-3.281243270745564e-16,0.08180683623148988,0.08180683623148988,3.281243270745564e-16,-3.281243270745564e-16,-0.045905208684284604,0.04590523952116718,0.0
8.571428571428571,0.8735132811052414,-4.327495894827799e-08,0.12648676216971755,0.12648676216971755,4.327495894827799e-08,-4.327495894827799e-08,0.9188916160173015,-3.185410631005226e-16,0.0811083839826988,0.0811083839826988,3.185410631005226e-16,-3.185410631005226e-16,-0.045378334912060114,0.045378378187018745,0.0
8.653846153846155,0.8751153232216148,-6.012565312433702e-08,0.12488473690403834,0.12488473690403834,6.012565312433702e-08,-6.012565312433702e-08,0.9195802883664492,-3.0806257553669836e-16,0.08041971163355108,0.08041971163355108,3.0806257553669836e-16,-3.0806257553669836e-16,-0.044464965144834445,0.04446502527048726,0.0
8.737864077669904,0.8770571386228647,-8.231685221607239e-08,0.12294294369398749,0.12294294369398749,8.231685221607239e-08,-8.231685221607239e-08,0.9202592271415063,-2.967676098003096e-16,0.07974077285849397,0.07974077285849397,2.967676098003096e-16,-2.967676098003096e-16,-0.0432020885186416,0.04320217083549352,0.0
8.823529411764707,0.8792120417149938,-1.1086404539732857e-07,0.12078806914905162,0.12078806914905162,1.1086404539732857e-07,-1.1086404539732857e-07,0.9209284745603511,-2.847393785011247e-16,0.0790715254396492,0.0790715254396492,2.847393785011247e-16,-2.847393785011247e-16,-0.04171643284535731,0.04171654370940242,0.0
8.910891089108912,0.8813807752055142,-1.4686464861990496e-07,0.11861937165913446,0.11861937165913446,1.4686464861990496e-07,-1.4686464861990496e-07,0.9215880690853602,-2.720649123027754e-16,0.0784119309146401,0.0784119309146401,2.720649123027754e-16,-2.720649123027754e-16,-0.04020729387984601,0.04020744074449435,0.0
9.0,0.8833260263188675,-1.9148932066888611e-07,0.11667416517045319,0.11667416517045319,1.9148932066888611e-07,-1.9148932066888611e-07,0.9222380462628822,-2.588343972632698e-16,0.07776195373711807,0.07776195373711807,2.588343972632698e-16,-2.588343972632698e-16,-0.03891201994401472,0.03891221143333512,0.0
